# reltime ampl
4.909091e+00 1.524436e+00
4.918182e+00 1.501756e+00
4.927273e+00 1.479328e+00
4.936364e+00 1.457151e+00
4.945455e+00 1.435223e+00
4.954545e+00 1.413543e+00
4.963636e+00 1.392109e+00
4.972727e+00 1.370919e+00
4.981818e+00 1.349972e+00
4.990909e+00 1.329266e+00
5.000000e+00 1.308799e+00
5.009091e+00 1.288570e+00
5.018182e+00 1.268578e+00
5.027273e+00 1.248820e+00
5.036364e+00 1.229294e+00
5.045455e+00 1.210001e+00
5.054545e+00 1.190936e+00
5.063636e+00 1.172100e+00
5.072727e+00 1.153490e+00
5.081818e+00 1.135105e+00
5.090909e+00 1.116942e+00
5.100000e+00 1.099001e+00
5.109091e+00 1.081279e+00
5.118182e+00 1.063775e+00
5.127273e+00 1.046488e+00
5.136364e+00 1.029414e+00
5.145455e+00 1.012554e+00
5.154545e+00 9.959049e-01
5.163636e+00 9.794651e-01
5.172727e+00 9.632331e-01
5.181818e+00 9.472071e-01
5.190909e+00 9.313855e-01
5.200000e+00 9.157665e-01
5.209091e+00 9.003485e-01
5.218182e+00 8.851298e-01
5.227273e+00 8.701087e-01
5.236364e+00 8.552835e-01
5.245455e+00 8.406526e-01
5.254545e+00 8.262142e-01
5.263636e+00 8.119666e-01
5.272727e+00 7.979082e-01
5.281818e+00 7.840373e-01
5.290909e+00 7.703522e-01
5.300000e+00 7.568513e-01
5.309091e+00 7.435329e-01
5.318182e+00 7.303952e-01
5.327273e+00 7.174367e-01
5.336364e+00 7.046557e-01
5.345455e+00 6.920506e-01
5.354545e+00 6.796196e-01
5.363636e+00 6.673611e-01
5.372727e+00 6.552736e-01
5.381818e+00 6.433553e-01
5.390909e+00 6.316046e-01
5.400000e+00 6.200199e-01
5.409091e+00 6.085996e-01
5.418182e+00 5.973420e-01
5.427273e+00 5.862456e-01
5.436364e+00 5.753087e-01
5.445455e+00 5.645297e-01
5.454545e+00 5.539071e-01
5.463636e+00 5.434392e-01
5.472727e+00 5.331245e-01
5.481818e+00 5.229614e-01
5.490909e+00 5.129483e-01
5.500000e+00 5.030837e-01
5.509091e+00 4.933659e-01
5.518182e+00 4.837935e-01
5.527273e+00 4.743649e-01
5.536364e+00 4.650786e-01
5.545455e+00 4.559331e-01
5.554545e+00 4.469267e-01
5.563636e+00 4.380581e-01
5.572727e+00 4.293257e-01
5.581818e+00 4.207280e-01
5.590909e+00 4.122636e-01
5.600000e+00 4.039308e-01
5.609091e+00 3.957284e-01
5.618182e+00 3.876547e-01
5.627273e+00 3.797084e-01
5.636364e+00 3.718880e-01
5.645455e+00 3.641920e-01
5.654545e+00 3.566191e-01
5.663636e+00 3.491678e-01
5.672727e+00 3.418366e-01
5.681818e+00 3.346243e-01
5.690909e+00 3.275293e-01
5.700000e+00 3.205503e-01
5.709091e+00 3.136860e-01
5.718182e+00 3.069349e-01
5.727273e+00 3.002956e-01
5.736364e+00 2.937669e-01
5.745455e+00 2.873474e-01
5.754545e+00 2.810358e-01
5.763636e+00 2.748306e-01
5.772727e+00 2.687307e-01
5.781818e+00 2.627347e-01
5.790909e+00 2.568414e-01
5.800000e+00 2.510493e-01
5.809091e+00 2.453573e-01
5.818182e+00 2.397640e-01
5.827273e+00 2.342683e-01
5.836364e+00 2.288689e-01
5.845455e+00 2.235645e-01
5.854545e+00 2.183538e-01
5.863636e+00 2.132358e-01
5.872727e+00 2.082091e-01
5.881818e+00 2.032726e-01
5.890909e+00 1.984251e-01
5.900000e+00 1.936653e-01
5.909091e+00 1.889922e-01
5.918182e+00 1.844046e-01
5.927273e+00 1.799012e-01
5.936364e+00 1.754810e-01
5.945455e+00 1.711428e-01
5.954545e+00 1.668856e-01
5.963636e+00 1.627081e-01
5.972727e+00 1.586093e-01
5.981818e+00 1.545881e-01
5.990909e+00 1.506434e-01
6.000000e+00 1.467742e-01
6.009091e+00 1.429793e-01
6.018182e+00 1.392577e-01
6.027273e+00 1.356084e-01
6.036364e+00 1.320303e-01
6.045455e+00 1.285224e-01
6.054545e+00 1.250837e-01
6.063636e+00 1.217132e-01
6.072727e+00 1.184098e-01
6.081818e+00 1.151727e-01
6.090909e+00 1.120008e-01
6.100000e+00 1.088931e-01
6.109091e+00 1.058487e-01
6.118182e+00 1.028666e-01
6.127273e+00 9.994598e-02
6.136364e+00 9.708578e-02
6.145455e+00 9.428514e-02
6.154545e+00 9.154312e-02
6.163636e+00 8.885884e-02
6.172727e+00 8.623139e-02
6.181818e+00 8.365990e-02
6.190909e+00 8.114349e-02
6.200000e+00 7.868130e-02
6.209091e+00 7.627247e-02
6.218182e+00 7.391615e-02
6.227273e+00 7.161150e-02
6.236364e+00 6.935770e-02
